,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,
21,-0.307166951,-0.299620083,-0.194593649,-0.371499513,-0.301845258,-0.34268,-0.312523721,-0.323822149,-0.308335903,-0.272721228,-0.270187394,-0.260087624,0.791261383,1.887599389,0.921521904,-0.102773787,0.338811343,0.301740375,0.028320238,0.426160391,-0.262646564,4.523711281,1.227615238
22,-0.301779334,-0.284610037,-0.192186172,-0.355371815,-0.271139662,-0.338262674,-0.310893922,-0.320526101,-0.323920098,-0.350990673,-0.274405873,-0.255495852,-0.270104302,-0.159754485,-0.179271119,-0.178055206,-0.125820379,0.942679602,-0.209711479,-0.234115452,-0.2852975,-0.32414154,0.070486888
23,-0.30936032,-0.2995823,-0.19361283,-0.368712385,-0.299438531,-0.336805106,-0.305591331,-0.323930557,-0.336050278,-0.349828156,-0.283968874,-0.220923083,-0.064456001,-0.086398424,-0.013941006,-0.105105926,-0.28396041,-0.293730816,-0.210736626,-0.241810852,-0.311974728,-0.319770498,0.01010908
24,-0.299252434,-0.287239222,-0.186651842,-0.372264595,-0.30363741,-0.343604854,-0.315955617,-0.330442895,-0.330317345,-0.221280343,-0.301761964,-0.259260411,0.221781357,-0.190750386,-0.27004249,-0.247987259,-0.265058733,-0.293289466,-0.205996299,-0.22928916,-0.305099583,-0.304778039,0.013873935
25,-0.303552383,-0.29112272,-0.189215538,-0.363211571,-0.289769651,-0.327305863,-0.297634006,-0.317606386,-0.284260599,-0.282381205,-0.294606158,-0.254728753,0.492963712,-0.224471063,-0.269726081,0.112234937,-0.280730063,-0.297569448,-0.21993781,-0.245706732,-0.29992047,-0.313694234,0.034528291
26,-0.166681382,-0.064208881,0.031267183,0.036303494,2.530659641,0.102673935,-0.160429064,0.530078548,-0.216761238,-0.260247321,-0.087920297,-0.178138712,-0.201556718,-0.216975433,-0.230472902,-0.261592666,-0.290810367,-0.29637002,-0.198209167,-0.23123939,-0.166298629,0.108241271,0.353481141
27,-0.265715558,-0.267206065,-0.174535818,-0.342619614,-0.277513781,-0.322058082,-0.267722907,-0.318744995,-0.311105491,-0.309287523,-0.071793679,0.056944101,-0.182314977,-0.191981781,-0.26778537,0.351811389,0.057907867,-0.261620763,0.577113359,0.50899029,-0.139080624,-0.297472139,0.073656855
28,-0.308102369,-0.298504723,-0.160470765,-0.37230592,-0.303219672,-0.343955595,-0.312612699,-0.326873859,-0.331681874,-0.345491532,-0.301944191,-0.261072669,-0.293790257,-0.236138732,-0.273350157,-0.333745575,-0.302685133,-0.302226468,-0.220736541,-0.25003622,-0.315160524,-0.325859695,0.002264046
29,-0.305245125,-0.289582147,-0.183147008,-0.339685941,-0.304079111,-0.3254109,-0.30751049,-0.327031126,-0.33412551,-0.342072913,-0.148628619,-0.227156207,-0.247856843,-0.217280376,-0.231474808,-0.15255554,-0.272208414,-0.282710866,0.038855598,0.121431422,-0.269617281,-0.302192601,0.014069731
30,1.484605396,0.252905108,-0.156205564,-0.009767824,0.448624997,-0.094735104,-0.013053506,-0.213158928,-0.121293131,-0.091544179,-0.123240056,-0.105630421,-0.271544292,-0.213040315,-0.255274135,-0.307035126,-0.274954007,-0.272733697,-0.195245049,-0.228411523,-0.234265429,-0.284341234,0.15133155
