GeneSymbol,Mix1,Mix2,Mix3,Mix4,Mix5
ACD,358.5772377,327.7579029,460.6931009,275.8778748,312.1724585
ACE,37.26813085,44.42503367,60.98585565,39.80969579,133.6871051
ACE2,75.89846729,61.47515852,42.42662706,79.67984678,57.34220908
ACHE,32.11292959,74.52687925,88.24043215,26.25206145,156.119247
ACIN1,456.8344945,506.931999,486.6126978,304.9345522,384.6125636
ACLY,822.4656503,901.9159223,966.1943873,737.067884,869.6781791
ACN9,152.5037625,140.7376462,112.6629675,108.3937501,74.36062345
ACO1,568.9832486,580.7042082,571.3278866,602.4125173,629.9374456
ACO2,1071.32055,1298.397959,1076.133197,792.7034657,887.8258886
ACOT11,120.5685984,127.753782,133.7546996,173.1845977,194.0600995
ACOT13,500.9963895,597.6424057,773.2299841,460.0025352,772.3876308
ACOT7,248.7992652,303.8288621,306.4749319,229.686555,319.6113968
ACOT8,511.7768704,450.9633285,386.9824145,466.0021403,360.1866468
ACOT9,327.2950481,478.8198367,605.5080614,806.2043599,1136.551365
ACOX1,177.9031245,212.9360411,308.7232584,389.390567,526.0804272
ACOX2,60.5360428,72.08995283,60.96383455,49.01804886,47.83603526
ACOX3,160.8639031,184.8077351,183.2333268,132.378014,179.865973
ACOXL,5.714129327,5.856051109,9.934846294,4.29353499,7.221733279
ACP1,839.1988291,840.4417137,669.2748391,587.8268803,449.5383217
ACP2,633.5140184,862.2901465,1005.311431,579.4566065,1416.487279
ACP5,1045.560791,1250.323739,1919.91837,1148.432534,3095.048627
ACP6,511.5174185,526.9768483,437.0503948,489.9166023,468.4112607
ACPP,154.226609,223.9009638,178.12588,531.1329649,613.6363837
ACRV1,512.0380921,456.0807281,255.5279489,530.5935332,322.6482075
ACSBG1,107.413671,103.5215114,57.96652182,116.3716251,84.69321627
ACSBG2,236.1361924,200.1169143,117.9573289,242.2768491,142.6575522
ACSF2,60.4380175,70.58383137,78.56811489,72.53518101,97.83354794
ACSL1,339.5130134,562.6320928,1015.709892,2191.546371,3061.950783
ACSL3,257.8010827,293.4529346,347.5686089,292.557818,398.4169732
ACSL5,655.6120946,615.9145585,665.245459,547.6242815,490.1033093
ACSL6,164.2177492,133.5770057,85.42221301,115.8791437,63.47904984
ACSM1,8.257217023,11.90427081,8.559716477,6.961510448,8.373354007
ACSM3,89.16308657,100.8060562,73.16025604,124.1879817,121.4832287
ACSM5,140.2059159,129.1412541,90.74991398,144.3565194,126.1055755
ACSS3,227.9779353,216.026144,154.5705251,237.1437277,171.3783158
ACTA1,31.72156949,40.9779674,41.1312058,33.2607868,50.71425984
ACTA2,392.0234342,451.0643232,517.9019748,353.8640915,492.2738339
ACTB,18271.74219,18205.5208,24549.03702,17408.34438,22578.50653
ACTC1,239.2100406,227.6834898,204.3578884,249.574475,247.3172889
ACTG1,18904.58021,18468.39923,21421.85208,17051.37926,18516.63626
ACTG2,166.2180743,179.9325319,175.9723043,162.060484,176.3743335
ACTL6A,325.7043323,346.3622204,363.1255484,236.7389444,250.2571195
ACTL6B,8.080566842,8.601034629,8.245318345,8.196899287,8.76111652
ACTL7A,14.08363257,15.80861303,14.55725386,15.40271362,17.25097991
ACTL7B,20.86608585,22.70368995,17.90667398,28.40027704,26.33590934
ACTL8,21.31459859,23.44268239,25.58993608,23.0412269,34.86373583
ACTN1,682.8589903,782.090796,776.6808397,1289.066389,1789.544053
ACTN2,83.19806101,84.9800475,53.50764528,82.58336518,65.19720531
ACTN3,144.520525,140.8507432,114.510773,160.4710532,139.3172333
ACTN4,611.0482563,659.3662254,537.0048712,642.6030624,613.1507213
ACTR10,1507.778755,1612.332786,2054.557566,1712.486545,2011.690359
ACTR1A,464.5753033,562.4237618,786.5336166,531.4667384,898.7852108
ACTR1B,1176.805082,1188.005979,903.5392663,943.1403815,754.6257471
ACTR2,3693.796208,3756.255815,4729.707743,3696.514331,4019.179325
ACTR3,3941.007533,3687.107501,5085.760158,4135.269388,4675.263293
ACTR3B,86.36912547,94.56411001,84.31811563,97.18469398,97.93205353
ACTR5,487.8663775,425.822998,329.3130403,406.8811165,262.642751
ACTR6,387.4428387,374.0300743,514.5780215,296.2207304,378.8897504
ACTR8,355.2269623,304.2836394,273.7974728,372.7279998,298.7906583
ACVR1,379.2897722,447.8326603,444.6020453,442.1134897,543.6206491
ACVR1B,137.5536298,145.0768742,168.7052707,174.4249518,201.9694681
ACVR2A,450.607771,440.446171,358.4339513,453.2747185,423.9058598
ACVR2B,537.023148,501.3545902,387.8601332,543.1255459,400.3254577
ACVRL1,105.5938758,114.1969422,78.98454476,82.49947269,84.30792671
ACY1,179.4984953,212.2240579,266.5098386,202.3859489,286.6140782
ACYP1,347.8009712,299.717147,308.6813496,189.0815093,141.3627164
ACYP2,409.4589928,394.0489004,356.5585154,343.1833704,299.9293985
ADA,532.2796663,565.4954597,764.2944918,352.0549638,631.9863534
ADAM10,377.562252,398.6810813,481.4957966,351.7085457,436.804091
ADAM11,46.8972859,61.86900759,50.80023347,43.32800368,63.396515
